dataHora,ordem,linha,latitude,longitude,velocidade
12-28-2017 12:42:47,C13128,744,"-22.875891","-43.419941",0
12-28-2017 12:43:22,B44538,265,"-22.856489","-43.368431",1
12-28-2017 12:43:43,C30151,,"-22.931391","-43.358681",0
12-28-2017 12:44:12,B58159,,"-22.837099","-43.28664",17
12-28-2017 12:44:31,A29072,476,"-22.902241","-43.27565",0
12-28-2017 12:44:44,D87050,830,"-22.90196","-43.559601",2
12-28-2017 12:45:19,A37502,,"-22.90082","-43.19635",0
12-28-2017 12:46:23,B44646,638,"-22.902901","-43.277191",0
12-28-2017 12:46:31,D53681,393,"-22.819469","-43.284481",9
12-28-2017 12:46:38,B28529,330,"-22.90567","-43.19239",32
12-28-2017 12:46:40,A29124,473,"-22.89064","-43.229179",0
12-28-2017 12:47:15,D86282,864,"-22.894884","-43.532291",1.3
12-28-2017 12:48:50,A37558,,"-22.90177","-43.19685",0
12-28-2017 12:48:57,A72082,014,"-22.890013","-43.292862",0.37
12-28-2017 12:49:01,A29096,472,"-22.896271","-43.241268",0
12-28-2017 12:49:18,B27048,629,"-22.86854","-43.268551",27
12-28-2017 12:50:07,C30018,,"-22.951759","-43.349121",11
12-28-2017 12:51:37,A41448,100,"-22.900368","-43.204525",17.59
12-28-2017 12:51:51,C47732,636,"-22.896021","-43.29245",14
12-28-2017 12:52:36,B71021,238,"-22.929728","-43.253883",0
12-28-2017 12:53:25,A29183,471,"-22.89673","-43.242088",5
12-28-2017 12:53:43,B42619,,"-22.87624","-43.329708",0
12-28-2017 12:57:45,B44670,SVB685,"-22.846781","-43.339951",39
12-28-2017 12:57:56,B27148,905,"-22.825199","-43.307968",0
12-28-2017 12:58:49,D53911,2310,"-22.883671","-43.494999",0
12-28-2017 12:58:57,D53567,786,"-22.884069","-43.495178",0
12-28-2017 12:59:43,C41871,2145,"-22.812349","-43.247051",42
12-28-2017 13:00:52,D87764,,"-22.91675","-43.6077",0
12-28-2017 13:01:30,A29052,473,"-22.89222","-43.228821",0
12-28-2017 13:01:36,D87308,770,"-22.839951","-43.368721",48
12-28-2017 13:02:07,C27121,774,"-22.81608","-43.31765",36
12-28-2017 13:05:31,A41866,2012,"-23.01265","-43.54097",0
12-28-2017 13:06:47,B42657,,"-22.87636","-43.329559",0
12-28-2017 13:07:34,C30359,,"-22.951679","-43.348049",0
12-28-2017 13:08:16,C30264,550,"-22.98209","-43.227058",36
12-28-2017 13:08:45,B10067,901,"-22.815414","-43.187351",0
12-28-2017 13:09:17,A08,002,"-22.945028","-43.205734",48.34
12-28-2017 13:09:22,C47992,2112,"-22.882851","-43.237782",9
12-28-2017 13:09:32,A27644,,"-22.92028","-43.256321",0
12-28-2017 13:10:04,B42551,,"-22.876539","-43.32975",12
12-28-2017 13:10:12,D53545,393,"-22.8974","-43.487011",0
12-28-2017 13:10:49,C42609,,"-22.87648","-43.329411",6
12-28-2017 13:11:35,B28701,2344,"-22.81583","-43.188",0
12-28-2017 13:11:42,B19554,665,"-22.8311","-43.323921",0
12-28-2017 13:11:55,B44617,,"-22.860821","-43.355721",0
12-28-2017 13:11:58,D87043,771,"-22.917061","-43.607658",0
12-28-2017 13:12:05,D53602,759,"-22.861589","-43.41061",71
12-28-2017 13:12:57,A29025,473,"-22.891001","-43.22929",0
